               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069907,            0.020146,            0.024003,             0.69561,             0.42635,             0.26897,             0.12667,            0.023828,           0.0093612,            0.014471,             0.07039,             0.00329,             0.00329
                   1,            0.047643,            0.014562,            0.021549,             0.69701,             0.40562,              0.2799,             0.13489,            0.025003,           0.0051192,            0.014377,             0.04031,           0.0065439,           0.0065439
                   2,            0.040532,            0.011088,            0.021167,             0.15039,             0.71923,              0.3104,             0.15671,            0.023258,           0.0037753,            0.014119,            0.010151,           0.0097177,           0.0097177
                   3,            0.033884,            0.009258,            0.020553,             0.30078,             0.86882,             0.45493,             0.27943,            0.016746,           0.0036697,            0.013487,             0.00964,             0.00964,             0.00964
                   4,             0.02934,           0.0084761,            0.018289,             0.35011,             0.72425,             0.62947,             0.38108,            0.018049,           0.0034501,            0.011263,             0.00964,             0.00964,             0.00964
                   5,            0.028304,           0.0082161,            0.013607,             0.95859,             0.68625,             0.84286,             0.50952,            0.016963,           0.0033963,            0.005009,             0.00952,             0.00952,             0.00952
                   6,            0.027015,           0.0080249,            0.010895,             0.70498,             0.83257,             0.83299,             0.51462,            0.019283,           0.0034115,           0.0044475,              0.0094,              0.0094,              0.0094
                   7,            0.025747,           0.0078537,            0.010104,             0.88547,             0.78245,             0.89263,             0.55079,             0.01656,           0.0033211,            0.004308,             0.00928,             0.00928,             0.00928
                   8,            0.025517,           0.0076706,           0.0090662,             0.95591,             0.89357,             0.97987,             0.66989,            0.014167,           0.0032666,           0.0023151,             0.00916,             0.00916,             0.00916
                   9,            0.024667,           0.0075266,           0.0084667,             0.93114,             0.91468,             0.96431,             0.59338,            0.015402,           0.0032623,           0.0022628,             0.00904,             0.00904,             0.00904
                  10,            0.024558,           0.0075234,           0.0078955,             0.93075,             0.96026,             0.97419,             0.68092,            0.013935,           0.0031027,           0.0020531,             0.00892,             0.00892,             0.00892
                  11,            0.023869,           0.0074301,           0.0073344,             0.94785,             0.94642,             0.96945,             0.64137,            0.014172,           0.0030412,           0.0021558,              0.0088,              0.0088,              0.0088
                  12,            0.023297,           0.0073657,            0.007213,             0.98878,             0.98832,             0.99146,             0.62453,            0.016661,           0.0033136,           0.0011777,             0.00868,             0.00868,             0.00868
                  13,            0.023378,           0.0073379,           0.0072831,             0.99018,             0.98714,             0.98843,             0.67908,            0.015162,           0.0031024,           0.0012131,             0.00856,             0.00856,             0.00856
                  14,            0.022722,           0.0072334,           0.0066066,             0.99204,             0.96761,             0.98927,             0.71765,            0.014806,            0.003059,           0.0011725,             0.00844,             0.00844,             0.00844
                  15,            0.022288,           0.0070865,           0.0068319,             0.98317,             0.98132,              0.9906,             0.69284,            0.013882,            0.002951,           0.0012482,             0.00832,             0.00832,             0.00832
                  16,            0.022061,           0.0071029,           0.0062138,             0.98293,             0.96299,             0.98763,             0.69132,             0.01374,            0.002979,           0.0016846,              0.0082,              0.0082,              0.0082
                  17,            0.021892,           0.0071062,           0.0062136,             0.98379,             0.97987,              0.9906,              0.7052,            0.012817,           0.0030063,           0.0012734,             0.00808,             0.00808,             0.00808
                  18,            0.022033,           0.0071047,           0.0062286,             0.98782,             0.97373,              0.9863,             0.68702,            0.013199,           0.0030243,           0.0012833,             0.00796,             0.00796,             0.00796
                  19,             0.02153,           0.0067466,           0.0062538,             0.99165,              0.9875,             0.99222,             0.69269,            0.013918,           0.0030377,          0.00099665,             0.00784,             0.00784,             0.00784
                  20,            0.021649,           0.0070572,           0.0060981,             0.99447,             0.99272,             0.99394,             0.68524,             0.01453,           0.0030202,          0.00078046,             0.00772,             0.00772,             0.00772
                  21,             0.02107,            0.006978,           0.0059991,             0.99271,             0.98773,             0.99451,             0.71046,            0.012854,           0.0028994,          0.00072561,              0.0076,              0.0076,              0.0076
                  22,            0.021244,           0.0068505,           0.0058029,              0.9878,             0.99475,             0.99362,             0.73148,            0.012677,           0.0028677,          0.00075926,             0.00748,             0.00748,             0.00748
                  23,            0.020938,           0.0068007,           0.0056736,             0.98671,             0.98839,             0.99297,             0.72744,            0.011965,           0.0029633,          0.00083914,             0.00736,             0.00736,             0.00736
                  24,             0.02071,           0.0068621,           0.0056263,             0.99284,             0.99674,             0.99431,             0.74852,            0.013453,            0.002872,          0.00060894,             0.00724,             0.00724,             0.00724
                  25,            0.020502,           0.0067689,           0.0053734,             0.99499,             0.98836,              0.9929,             0.68873,            0.015069,           0.0029761,          0.00068508,             0.00712,             0.00712,             0.00712
                  26,            0.020587,           0.0067855,           0.0056669,             0.98284,             0.99008,             0.99304,             0.67931,            0.014822,           0.0029976,          0.00095246,               0.007,               0.007,               0.007
                  27,            0.020646,           0.0068654,           0.0055068,             0.98995,             0.97971,             0.99197,             0.73946,            0.011908,           0.0028893,          0.00090627,             0.00688,             0.00688,             0.00688
                  28,            0.019988,           0.0067648,           0.0052408,              0.9914,             0.98944,             0.99436,              0.6986,            0.013729,           0.0029165,          0.00077583,             0.00676,             0.00676,             0.00676
                  29,            0.019938,           0.0066179,           0.0051327,             0.99641,              0.9955,             0.99456,             0.75115,            0.012534,           0.0028787,          0.00065282,             0.00664,             0.00664,             0.00664
                  30,            0.019874,           0.0067608,           0.0050858,             0.99716,             0.99459,             0.99481,             0.69648,            0.014508,            0.002942,          0.00053221,             0.00652,             0.00652,             0.00652
                  31,             0.01994,           0.0066019,           0.0049345,              0.9771,             0.98331,             0.99052,              0.7641,            0.011574,           0.0028275,           0.0011195,              0.0064,              0.0064,              0.0064
                  32,            0.019564,           0.0064167,           0.0049612,             0.99413,             0.99074,             0.99393,             0.73758,            0.012402,           0.0029716,          0.00075485,             0.00628,             0.00628,             0.00628
                  33,            0.019577,            0.006521,           0.0050619,             0.99466,             0.99098,             0.99422,             0.70585,            0.013722,           0.0029311,          0.00055354,             0.00616,             0.00616,             0.00616
                  34,            0.019517,           0.0066234,           0.0048085,              0.9946,             0.99192,             0.99257,             0.74859,            0.012132,           0.0028912,          0.00065731,             0.00604,             0.00604,             0.00604
                  35,            0.019538,           0.0065152,           0.0050081,             0.99072,             0.99204,             0.99388,             0.73185,            0.012813,            0.002894,          0.00067913,             0.00592,             0.00592,             0.00592
                  36,            0.019285,           0.0065442,           0.0047386,             0.99652,             0.99636,             0.99435,             0.72798,            0.012337,           0.0027971,          0.00047228,              0.0058,              0.0058,              0.0058
                  37,            0.019286,           0.0065942,           0.0047585,             0.99328,             0.99441,             0.99459,             0.74925,            0.012291,           0.0027861,          0.00047403,             0.00568,             0.00568,             0.00568
                  38,            0.018983,           0.0063513,            0.004564,             0.99757,             0.99666,             0.99464,             0.66606,            0.013847,           0.0029819,          0.00047698,             0.00556,             0.00556,             0.00556
                  39,            0.019108,           0.0065678,           0.0046514,             0.99468,             0.99647,              0.9948,             0.72007,            0.012164,           0.0028742,          0.00051033,             0.00544,             0.00544,             0.00544
                  40,             0.01866,            0.006334,           0.0043613,             0.98448,             0.98862,             0.99054,             0.74272,            0.012476,           0.0028535,           0.0012205,             0.00532,             0.00532,             0.00532
                  41,            0.018778,           0.0064142,           0.0043012,             0.99577,             0.99064,             0.99422,             0.73724,            0.012212,            0.002868,          0.00064348,              0.0052,              0.0052,              0.0052
                  42,            0.018636,           0.0063369,           0.0045409,             0.99399,             0.98984,             0.99321,             0.74822,            0.011916,            0.002808,          0.00066847,             0.00508,             0.00508,             0.00508
                  43,            0.018738,           0.0063341,           0.0043162,              0.9938,              0.9875,             0.99351,             0.75653,             0.01174,           0.0028489,          0.00086997,             0.00496,             0.00496,             0.00496
                  44,            0.018598,           0.0064149,           0.0043033,             0.99461,             0.99065,             0.99355,             0.74296,            0.012652,           0.0028203,          0.00075741,             0.00484,             0.00484,             0.00484
                  45,            0.018484,           0.0063441,            0.004311,             0.99622,             0.99185,             0.99438,             0.72613,            0.012513,           0.0028196,          0.00057768,             0.00472,             0.00472,             0.00472
                  46,            0.018411,           0.0063669,            0.004024,             0.99477,             0.98804,             0.99332,              0.7371,             0.01202,           0.0028135,          0.00063945,              0.0046,              0.0046,              0.0046
                  47,            0.018247,           0.0062352,           0.0042336,             0.99437,             0.99241,             0.99444,             0.71841,            0.013095,           0.0028523,          0.00051603,             0.00448,             0.00448,             0.00448
                  48,            0.018253,           0.0063188,            0.004202,             0.99257,              0.9926,             0.99416,             0.73008,            0.012578,           0.0027781,          0.00080377,             0.00436,             0.00436,             0.00436
                  49,            0.017893,           0.0062624,           0.0039196,             0.99538,             0.98944,             0.99144,              0.7554,            0.011805,           0.0027656,          0.00084275,             0.00424,             0.00424,             0.00424
                  50,            0.018166,           0.0062127,           0.0042089,             0.99477,             0.99629,             0.99473,             0.73513,            0.011928,           0.0027838,          0.00045292,             0.00412,             0.00412,             0.00412
                  51,            0.017941,           0.0062128,           0.0040022,             0.99596,              0.9949,             0.99465,             0.73057,            0.012717,           0.0028748,          0.00042393,               0.004,               0.004,               0.004
                  52,             0.01775,           0.0060502,           0.0040161,             0.99438,             0.99186,              0.9942,             0.75771,             0.01166,           0.0027926,          0.00051913,             0.00388,             0.00388,             0.00388
                  53,            0.017704,           0.0061987,           0.0038759,              0.9959,             0.99267,             0.99414,             0.74856,            0.012105,           0.0028111,          0.00054925,             0.00376,             0.00376,             0.00376
                  54,            0.017688,           0.0060324,           0.0036565,             0.99422,             0.98179,             0.99243,              0.7343,            0.012134,           0.0027895,           0.0007228,             0.00364,             0.00364,             0.00364
                  55,            0.017645,           0.0061118,           0.0040036,             0.99543,             0.99251,             0.99427,             0.73934,            0.012019,           0.0028187,          0.00065579,             0.00352,             0.00352,             0.00352
                  56,            0.017448,           0.0060453,           0.0036938,             0.99652,              0.9924,             0.99438,             0.73652,            0.012322,           0.0028328,          0.00041569,              0.0034,              0.0034,              0.0034
                  57,            0.017415,           0.0060217,           0.0038373,             0.99623,             0.99312,             0.99465,             0.73938,            0.011959,           0.0027622,          0.00045667,             0.00328,             0.00328,             0.00328
                  58,            0.017354,           0.0061805,           0.0036837,             0.99657,             0.99245,             0.99411,             0.74037,              0.0123,           0.0028266,          0.00054166,             0.00316,             0.00316,             0.00316
                  59,            0.017204,           0.0060111,           0.0038717,             0.99584,             0.99689,             0.99416,             0.72388,            0.012524,           0.0028586,          0.00058576,             0.00304,             0.00304,             0.00304
                  60,            0.017155,           0.0060862,           0.0035591,             0.99679,             0.99202,             0.99392,             0.74179,            0.011963,           0.0027925,          0.00058852,             0.00292,             0.00292,             0.00292
                  61,            0.017115,           0.0059207,           0.0036545,             0.99613,             0.99213,             0.99201,             0.74361,            0.011891,           0.0028395,          0.00070372,              0.0028,              0.0028,              0.0028
                  62,            0.016882,           0.0059781,           0.0033899,             0.99539,             0.99153,              0.9933,             0.73647,            0.011865,           0.0027589,          0.00066161,             0.00268,             0.00268,             0.00268
                  63,            0.017105,           0.0060468,           0.0034525,             0.99781,             0.99699,             0.99459,             0.73761,            0.011969,           0.0027696,           0.0004903,             0.00256,             0.00256,             0.00256
                  64,            0.016853,           0.0058352,           0.0035509,             0.99696,             0.99421,             0.99445,             0.75425,            0.011385,           0.0027463,          0.00055808,             0.00244,             0.00244,             0.00244
                  65,            0.017013,           0.0059172,           0.0034771,             0.99681,             0.99406,             0.99446,             0.76331,            0.011059,           0.0026988,          0.00048475,             0.00232,             0.00232,             0.00232
                  66,            0.016642,           0.0058772,           0.0034351,             0.99769,               0.997,             0.99421,             0.74548,            0.011962,            0.002781,          0.00045525,              0.0022,              0.0022,              0.0022
                  67,            0.016667,           0.0059104,           0.0032917,             0.99718,             0.99265,             0.99425,             0.74471,            0.011584,           0.0027049,           0.0005851,             0.00208,             0.00208,             0.00208
                  68,            0.016721,           0.0058849,           0.0035351,             0.99556,             0.99229,             0.99438,             0.75864,            0.011126,           0.0026916,          0.00058624,             0.00196,             0.00196,             0.00196
                  69,            0.016547,           0.0058662,           0.0032202,             0.99295,             0.99639,             0.99458,             0.75095,            0.011429,           0.0027078,          0.00073931,             0.00184,             0.00184,             0.00184
                  70,            0.016371,           0.0058032,           0.0032442,             0.99536,             0.99322,             0.99418,             0.75516,            0.011487,           0.0027027,          0.00065426,             0.00172,             0.00172,             0.00172
                  71,            0.016463,           0.0058505,           0.0033701,             0.99451,             0.99535,             0.99435,             0.76342,             0.01115,           0.0026836,          0.00061347,              0.0016,              0.0016,              0.0016
                  72,             0.01615,           0.0057494,           0.0031636,             0.99597,              0.9919,             0.99422,             0.76212,            0.011128,            0.002699,           0.0007312,             0.00148,             0.00148,             0.00148
                  73,            0.016263,           0.0057494,           0.0030844,             0.99181,              0.9967,             0.99403,             0.76555,            0.011164,           0.0026949,          0.00070229,             0.00136,             0.00136,             0.00136
                  74,            0.016251,             0.00589,           0.0032087,             0.99658,             0.99402,             0.99442,              0.7519,            0.011273,           0.0026967,          0.00054241,             0.00124,             0.00124,             0.00124
